Ticker,Headline,Source,Sentiment_1_10
MMM,Industry Cites 3M experiment that exposed cancer patients to PFAS to claim the chemicals aren't so bad,DJIA,8.128526210784912
MMM,Canadian PM Justin Trudeau has said he will not retaliate for U.S. President Donald Trump blocking 3M Co’s (MMM.N) exports of N95 respirator masks that protect doctors and nurses from the spread of coronavirus.,DJIA,5.570766631513834
AMGN,Amgen exits neuroscience R&amp;D as pharma pulls back from field,DJIA,7.086717236787081
AMGN,From Amgen to Gilead drugmakers are sitting on billions of cash — and top pharma executives are hinting about big M&amp;A to come in 2019,DJIA,8.771857898682356
AAPL,France To Take Legal Action Against Facebook Google Amazon Apple: Mistreatment of startups developers overwhelmingly dominant positions and abusive commercial practices cited as reasons for probe.,DJIA,5.652263788040727
CSCO,Virtual Healthcare Delivery Market – Expected to Grow at a CAGR of 24.6% During the Forecast Period 2021-2027 | Blue Sky Telehealth Cisco Systems Honeywell International McKesson Corporation OBS Medical SOC Telemed &amp; MDLIVE Inc,DJIA,8.333790436387062
CSCO,Virtual Healthcare Delivery Market – Expected to Grow at a CAGR of 24.6% During the Forecast Period 2021-2027 | Blue Sky Telehealth Cisco Systems Honeywell International McKesson Corporation OBS Medical SOC Telemed &amp; MDLIVE Inc,DJIA,8.333790436387062
CSCO,Internet of Medical Things Market – Current Analysis and Forecast 2027 | Boston Scientific Corporation Cisco Systems GE Healthcare IBM Corporation iRhythm Technologies Koninklijke Philips N.V. Medtronic Microsoft Corporation SAP SE,DJIA,9.587846666574478
CCEP,Essential Medicine Rides Coca-Cola's Distribution Into Remote African Villages - The AidPod is a wedge-shaped container between bottle necks in a Coca-Cola crate. For now they're distributing an anti-diarrhea kit.   There are places in the world where it’s easier to get a Coke than clean water.,DJIA,9.45916629768908
CCEP,Some areas of the world have a 20% child mortality rate due to lack of basic medicines but have access to Coca-Cola.  This org wants to use their distribution channels to solve this problem.,DJIA,8.62834620475769
DIS,"Helium shortage being felt / Disney Resort hospital MRIs affected by lack of rare gas
",DJIA,5.589135974645615
AAAU,Goldman Sachs asks in biotech research report: 'Is curing patients a sustainable business model?',DJIA,7.807770356535912
HON,Virtual Healthcare Delivery Market – Expected to Grow at a CAGR of 24.6% During the Forecast Period 2021-2027 | Blue Sky Telehealth Cisco Systems Honeywell International McKesson Corporation OBS Medical SOC Telemed &amp; MDLIVE Inc,DJIA,8.333790436387062
HON,Virtual Healthcare Delivery Market – Expected to Grow at a CAGR of 24.6% During the Forecast Period 2021-2027 | Blue Sky Telehealth Cisco Systems Honeywell International McKesson Corporation OBS Medical SOC Telemed &amp; MDLIVE Inc,DJIA,8.333790436387062
JNJ,In USA Johnson &amp; Johnson agrees to pay $1 billion to 6000 patients - almost $166666 to each one - for its faulty hip implants in India it is fighting a government order asking it to pay $29000 to those who are suffering,DJIA,5.42730457521975
