Ticker,Headline,Source,Sentiment_1_10
MMM,Industry Cites 3M experiment that exposed cancer patients to PFAS to claim the chemicals aren't so bad,DJIA,6.268279821611941
MMM,Canadian PM Justin Trudeau has said he will not retaliate for U.S. President Donald Trump blocking 3M Co’s (MMM.N) exports of N95 respirator masks that protect doctors and nurses from the spread of coronavirus.,DJIA,1.9197783209383488
AMGN,Amgen exits neuroscience R&amp;D as pharma pulls back from field,DJIA,3.530897255986929
AMGN,From Amgen to Gilead drugmakers are sitting on billions of cash — and top pharma executives are hinting about big M&amp;A to come in 2019,DJIA,5.954111891798675
AAPL,France To Take Legal Action Against Facebook Google Amazon Apple: Mistreatment of startups developers overwhelmingly dominant positions and abusive commercial practices cited as reasons for probe.,DJIA,1.29643787862733
CSCO,Virtual Healthcare Delivery Market – Expected to Grow at a CAGR of 24.6% During the Forecast Period 2021-2027 | Blue Sky Telehealth Cisco Systems Honeywell International McKesson Corporation OBS Medical SOC Telemed &amp; MDLIVE Inc,DJIA,6.268675782717764
CSCO,Virtual Healthcare Delivery Market – Expected to Grow at a CAGR of 24.6% During the Forecast Period 2021-2027 | Blue Sky Telehealth Cisco Systems Honeywell International McKesson Corporation OBS Medical SOC Telemed &amp; MDLIVE Inc,DJIA,6.268675782717764
CSCO,Internet of Medical Things Market – Current Analysis and Forecast 2027 | Boston Scientific Corporation Cisco Systems GE Healthcare IBM Corporation iRhythm Technologies Koninklijke Philips N.V. Medtronic Microsoft Corporation SAP SE,DJIA,5.556330001913011
CCEP,Essential Medicine Rides Coca-Cola's Distribution Into Remote African Villages - The AidPod is a wedge-shaped container between bottle necks in a Coca-Cola crate. For now they're distributing an anti-diarrhea kit.   There are places in the world where it’s easier to get a Coke than clean water.,DJIA,5.60676408931613
CCEP,Some areas of the world have a 20% child mortality rate due to lack of basic medicines but have access to Coca-Cola.  This org wants to use their distribution channels to solve this problem.,DJIA,5.848708914592862
DIS,"Helium shortage being felt / Disney Resort hospital MRIs affected by lack of rare gas
",DJIA,1.2680123932659626
AAAU,Goldman Sachs asks in biotech research report: 'Is curing patients a sustainable business model?',DJIA,6.531231645029038
HON,Virtual Healthcare Delivery Market – Expected to Grow at a CAGR of 24.6% During the Forecast Period 2021-2027 | Blue Sky Telehealth Cisco Systems Honeywell International McKesson Corporation OBS Medical SOC Telemed &amp; MDLIVE Inc,DJIA,6.268675782717764
HON,Virtual Healthcare Delivery Market – Expected to Grow at a CAGR of 24.6% During the Forecast Period 2021-2027 | Blue Sky Telehealth Cisco Systems Honeywell International McKesson Corporation OBS Medical SOC Telemed &amp; MDLIVE Inc,DJIA,6.268675782717764
JNJ,In USA Johnson &amp; Johnson agrees to pay $1 billion to 6000 patients - almost $166666 to each one - for its faulty hip implants in India it is fighting a government order asking it to pay $29000 to those who are suffering,DJIA,1.9137672558426857
JNJ,"Boris Johnson confronted by angry father on hospital visit: 'The NHS has been destroyed' - The man whose child was being treated at Whipps Cross University Hospital in north-east London told the prime minister: ""The NHS has been destroyed ... and now you come here for a press opportunity.""",DJIA,1.7353058252483606
JNJ,Australian victims of faulty pelvic mesh implants have expressed disgust at doctors’ suggestions of anal intercourse as a solution to their ruined sex lives. The devices manufactured by pharmaceutical giant Johnson &amp; Johnson caused chronic and debilitating pain including during intercourse.,DJIA,1.3444188721477985
JNJ,UK Prime Minister Boris Johnson thanks hospital staff saying 'I owe them my life',DJIA,9.015009324066341
MCD,Indian eye clinic founded by a single doc has treated 27 million patients performed more than 3 million life-changing eye surgeries for slightly more than the cost of a meal at McDonalds. (Video),DJIA,5.801447712816298
MRK,"The scientist leading Britain's response to the Ebola pandemic has launched a devastating attack on ""Big Pharma"" accusing drugs giants including GlaxoSmithKline Sanofi Merck and Pfizer of failing to manufacture a vaccine not because it was impossible but because there was ""no business case"".",DJIA,1.5423741284757853
MRK,"""We may need to seek them out and destroy them where they live"". Vioxx maker Merck and Co drew up doctor hit list.",DJIA,4.7185983173549175
MRK,"Merck has known for a decade that its mumps vaccine is ""far less effective"" than it tells the government and it falsified test results and sold millions of doses of ""questionable efficacy"" flooding and monopolizing the market a primary caregiver claims in a federal antitrust class action.",DJIA,1.4860349232330918
MRK,India’s drug trials fuel consent controversy local subsidiaries of Novartis Pfizer Merck Glaxo SmithKline and Boehringer Ingelheim had been running clinical trials on patients without any consent.,DJIA,2.9029570892453194
MRK,Germany's Merck halts supply of cancer drug to Greek hospitals,DJIA,1.456587985623628
MRK,Moderna Merck say they will not limit price of COVID-19 vaccines to company cost,DJIA,5.772494364529848
MRK,Australian Cancer Drug Licensed in $730M Deal – A promising new cancer drug developed in Australia by the Cancer Therapeutics CRC has been licensed to U.S. pharmaceutical company Merck in a deal worth US$730 million.,DJIA,9.082289079669863
MRK,Genetically engineered Merck Cancer Vaccine Made Mandatory For Immigrants: Controversial shot now required if you want to live the American dream,DJIA,5.677302205003798
MRK,Merck CEO says raising COVID-19 vaccine hopes 'a grave disservice',DJIA,1.2824139446020126
MRK,Bharat's $1 rotavirus vaccine rolls out in India to challenge GSK Merck,DJIA,9.51083359355107
MRK,"Big Pharma Wants Males to Take Vaccine for Penile Cancer
About half of all cases of penile cancer are linked to a sexually transmitted virus that causes cervical cancer in women and might be prevented with vaccines from Merck &amp; Co. and GlaxoSmithKline Plc researchers said",DJIA,5.862671648152173
MRK,A clinical trial of an Ebola vaccine developed by Merck and NewLink has been halted temporarily as a precautionary measure after four patients complained of joint pains the University of Geneva Hospital said on Thursday.,DJIA,1.2473372095264494
MRK,Merck to Bristol-Myers Face More Threats on India Drug Patents - “We did not develop this medicine for Indians” Dekkers said Dec. 3. “We developed it for western patients who can afford it.”,DJIA,5.389899209141731
MRK,Charity buys Merck vaccine to thwart Ebola comeback - Charity alliance Gavi committed to buy $5 million (4.6 million euros) worth of an experimental Ebola vaccine on Wednesday from US drugmaker Merck enough it hopes to thwart any return of the epidemic that killed thousands.,DJIA,9.313323910813779
MRK,Coronavirus: Pharma firms unveil safety pledge over vaccine | The firms including Pfizer and Merck said they would only apply for regulatory approval after vaccines went through three phases of clinical study.,DJIA,6.11959317419678
MRK,Big Pharma researcher admits to faking dozens of research studies for Pfizer Merck,DJIA,4.760382506996393
MRK,"The popular painkiller Vioxx doubled the risk of a heart attack and was not fit to be on the market a court ruled yesterday.  judges found  pharmaceutical giant Merck had failed in its duty of care by not warning doctors about health risks.
",DJIA,1.495818498544395
MRK,Merck vaccine fraud exposed by two Merck virologists; company faked mumps vaccine efficacy results for over a decade says lawsuit,DJIA,2.1167636569589376
MRK,Documents Show Merck Paid This Popular Website $3.5 Million Dollars for Promoting Vaccines,DJIA,5.760401616804302
MRK,googul Merck to move COVID-19 #Treatment into large trials sees #Sales recovering this year googul.xyz,DJIA,9.203166512772441
MRK,Merck Stops Developing Both Of Its COVID-19 Vaccine Candidates,DJIA,1.362807552330196
MRK,Merck has halted its coronavirus vaccine program after poor trial results,DJIA,1.2194982101209462
MRK,Merck Scraps Covid-19 Vaccine Candidates,DJIA,3.353412065654993
MRK,Vioxx Maker Merck and Co Drew Up Doctor Hit List,DJIA,7.752516247332096
MRK,Merck Vaccine Insider’s Evil Targeting: Shocking In-Depth Report Creepiest Video,DJIA,4.85743398219347
MRK,Merck will face trial over lying about the efficiency of it's Measles vaccine facing federal charges of fraud.,DJIA,1.9371898472309113
MRK,Merck inaugurates state-of-the-art pharma packaging center in Darmstadt,DJIA,8.27890559611842
MRK,googul Merck aims to start 'large pivotal' studies on coronavirus #Treatment in September googul.xyz,DJIA,6.157909707631916
MRK,NotPetya Infection Left Merck Short of Key HPV Vaccine ..,DJIA,1.3021180219948292
MRK,Merck Pulls Out Of Agreement To Supply Life-Saving Vaccine To Millions Of Kids,DJIA,3.691124141216278
MRK,Coronavirus updates: Merck abandons vaccine development; Japan scrambling for 'herd immunity' ahead of Olympics,DJIA,2.0793920699507
MRK,Merck has shut down its coronavirus vaccine program after poor trial results,DJIA,1.223634616471827
MRK,Merck Pulls Out Of Agreement To Supply Life-Saving Vaccine To Millions Of Kids,DJIA,3.691124141216278
MRK,CHINA COMPETES IN EXPERIMENTAL EBOLA VACCINE AGAINST MERCK IN CONGO,DJIA,9.051762029062957
MRK,Dow surges 600 points S&amp;P 500 punches above key technical level as stock-market investors focus on Novovax Merck vaccine candidates,DJIA,8.153612576425076
MRK,‘You can’t rush science’ — Merck CEO stresses need for careful approach to coronavirus vaccine,DJIA,6.239996053278446
